Descrição 	Google Chrome 400x554	Relatório de BUGS

Página CADASTRO		
Header		
Texto "Qual é seu forte? Estatística ou sorte? é exibido no cabeçalho	PASSED	
Logo ProbaSorte é exibido no cabeçalho acompanhado de ícone	PASSED	
Botão "Entrar" é exibido no cabeçalho	PASSED	
Botão "Entrar" é exibido na cor azul com fonte branca	PASSED	
Ao clicar no botão "Entrar", usuário e encaminhado para página de cadastro	PASSED	


Body		
Título "Cadastre-se" é exibido com fonte azul escuro	PASSED	
Texto "Cadastre-se aqui e encontre a sua sorte hoje" é exibido 	PASSED	
Campo de "Nome" faixa Azul claro com texto em azul escuro é exibido	PASSED	
Campo de "E-mail" faixa Azul claro com texto em azul escuro é exibido	PASSED	
Campo "Estado" com faixa azul clara e texto em azul escuro é exibido	PASSED	
Campo "Cidade" com faixa azul clara e texto em azul escuro é exibido		
Campo de Senha faixa Azul claro com texto em azul escuro é exibido	PASSED	
Ao não preencher campo nome, campo é destacado em vermelho e mensagem de erro aparece	PASSED	
Ao preencher campo nome com dados inválidos, campo é destacado em vermelho e mensagem de erro aparece		
Ao preencher campo email com dados inválidos, campo é destacado em vermelho e mensagem de erro aparece	PASSED	
Ao não preencher campo email, campo é destacado em vermelho e mensagem de erro aparece	PASSED	
Ao preencher campo estado com dados inválidos, campo é destacado em vermelho e mensagem de erro aparece	PASSED	
Ao não preencher campo estado, campo é destacado em vermelho e mensagem de erro aparece	PASSED	
Ao preencher campo cidade com dados inválidos, campo é destacado em vermelho e mensagem de erro aparece	PASSED	
Ao não preencher cidade email, campo é destacado em vermelho e mensagem de erro aparece	PASSED	
Ao preencher campo senha com dados inválidos, campo é destacado em vermelho e mensagem de erro aparece	PASSED	
Ao não preencher campo senha, campo é destacado em vermelho e mensagem de erro aparece	PASSED	
Botão de visualização de senha é exibido	PASSED	
Botão "Criar conta" é exibido 	PASSED	
Ao clicar no botão "criar conta", usuário e encaminhado para página de dashboard	PASSED	
Botão "Cadastrar com o google" é exibido	PASSED	
Ao clicar no botão "Cadastrar com o google", pop-up de contas do google é exibido	PASSED	
Texto "Quem já tem conta, todos os males espanta. Por aqui, você pode fazer o seu login!" é exibido 	PASSED	
Botão em negrito "login" ´exibido	PASSED	


Footer		
Texto em branco "Uma sequência gratuita por dia, cadastre-se agora." é exibido com um fundo azul 	PASSED	
Botão "Quero minha sorte" é exibido na cor branca com texto em azul	PASSED	
Ao clicar em "Quero minha sorte", usuário é encaminhado para página Cadastre-se	PASSED	
Logo ProbaSorte é exibido	PASSED	
Link para páginas "Sobre", "FAQ" "Termos e condições" é exibido	PASSED	
Ao clicar em "Sobre", usuário é encaminhado para página "Sobre"	PASSED	
Ao clicar em "FAQ", usuário é encaminhado para página "FAQ"	PASSED	
Ao clicar em "Termos e condições", usuário é encaminhado para página "Termos e condições"	PASSED	
Todos os direitos reservados é exibido	PASSED	
Logo ProbaSorte, Sobre, FAQ, Todos os direitos reseravados e texto sobre não garantia de resultados é exibido com fundo na cor azul escura	PASSED	
Texto "Apesar de usarmos dados e estatísticas com histórico e probabilidade de jogos anteriores, este site não garante nenhum resultado com as sugestões aqui geradas. Use por sua conta e risco." é exibido	PASSED	
