Descrição 	Google Chrome 400x554	Relatório de BUGS
Página Jogo Estatística		


Header		
Texto "Qual é seu forte? Estatística ou sorte? é exibido no cabeçalho	PASSED	
Logo ProbaSorte é exibido no cabeçalho acompanhado de ícone	PASSED	
Texto "+ Saldo" com quantidades de sorte é exibido	PASSED	
Avatar com foto é exibido	PASSED	
Ao clicar no avatar, menu dados do usuário é exibido	PASSED	
Ao clicar no avatar, menuc om dados do usuário é exibido com: nome, email, botão comprar sorte, botão editar perfil, botão sair 	PASSED	
Ao clicar no botão "Comprar sorte" usuário é encaminhado para página*******	FAILED	
Ao clicar no botão "Editar perfil" usuário e encaminhado para página*********	FAILED	
Ao clicar no botão 'Sair", usuário sai do perfil e é encaminhado para página inicial 	PASSED	


Página Modal Jogo Estatística		
Botão "Voltar" é exibido	PASSED	
Ao clicar em "Voltar", usuário é encaminhado para página dashboard	PASSED	
Título "Gere sua sorte baseada em apenas estatísticas"	PASSED	
Texto "Utilizando seus dados, sua sequência se formará Pra as suas chances no jogo aumentar, números com mais probabilidades de vencer, irão te ajudar” é exibido 	PASSED	
Botão "Comprar jogo" é exibido	PASSED	
Ao clicar no botão "Comprar jogo", usuário é encaminho para página Dashboard e sequência de jogo é gerada	PASSED	
Total de sorte é exibido 	PASSED	



Footer		
Texto em branco "Uma sequência gratuita por dia, cadastre-se agora." é exibido com um fundo azul 	PASSED	
Botão "Quero minha sorte" é exibido na cor branca com texto em azul	PASSED	
Ao clicar em "Quero minha sorte", usuário é encaminhado para página Cadastre-se	PASSED	
Logo ProbaSorte é exibido	PASSED	
Link para páginas "Sobre", "FAQ" "Termos e condições" é exibido	PASSED	
Ao clicar em "Sobre", usuário é encaminhado para página "Sobre"	PASSED	
Ao clicar em "FAQ", usuário é encaminhado para página "FAQ"	PASSED	
Ao clicar em "Termos e condições", usuário é encaminhado para página "Termos e condições"	PASSED	
Todos os direitos reservados é exibido	PASSED	
Logo ProbaSorte, Sobre, FAQ, Todos os direitos reseravados e texto sobre não garantia de resultados é exibido com fundo na cor azul escura	PASSED	
Texto "Apesar de usarmos dados e estatísticas com histórico e probabilidade de jogos anteriores, este site não garante nenhum resultado com as sugestões aqui geradas. Use por sua conta e risco." é exibido	PASSED	
		
