Descrição 	Google Chrome 400x554	Relatório de BUGS
Página SOBRE		

Header		
Texto "Qual é seu forte? Estatística ou sorte?" é exibido no cabeçalho 	PASSED	
Texto "Qual é seu forte? Estatística ou sorte?" é exibido com fundo branco e fonte em azul escuro	PASSED	
Logo ProbaSorte é exibido no cabeçalho acompanhado de ícone	PASSED	
Botão "Entrar" é exibido na cor azul com fonte branca	PASSED	
Ao clicar em botão "Entrar", usuário é encaminhado para página de Log In	PASSED	

Body		
Título "Saiba como funcionamos e geramos a sua sorte" é exibido 	PASSED	
Texto sobre como funciona é exibido	PASSED	
Imagem ****************************************	PASSED	
		
Footer		
Texto em branco "Uma sequência gratuita por dia, cadastre-se agora." é exibido com um fundo azul 	PASSED	
Botão "Quero minha sorte" é exibido na cor branca com texto em azul	PASSED	
Ao clicar em "Quero minha sorte", usuário é encaminhado para página Cadastre-se	PASSED	
Logo ProbaSorte é exibido	PASSED	
Link para páginas "Sobre", "FAQ" "Termos e condições" é exibido	PASSED	
Ao clicar em "Sobre", usuário é encaminhado para página "Sobre"	PASSED	
Ao clicar em "FAQ", usuário é encaminhado para página "FAQ"	PASSED	
Ao clicar em "Termos e condições", usuário é encaminhado para página "Termos e condições"	PASSED	
Todos os direitos reservados é exibido	PASSED	
Logo ProbaSorte, Sobre, FAQ, Todos os direitos reseravados e texto sobre não garantia de resultados é exibido com fundo na cor azul escura	PASSED	
Texto "Apesar de usarmos dados e estatísticas com histórico e probabilidade de jogos anteriores, este site não garante nenhum resultado com as sugestões aqui geradas. Use por sua conta e risco." é exibido	PASSED	
